origin_county,O_CRZ,Pop_group,Trip_purpose,Time_period,Trip_num_Total,Trip_num_inCSA,Trip_num_outsideCSA,Num_Residents
09005,false,Senior,Other,Overnight,8514,8257,257,41678
34025,false,NotLowIncome,Other,Peak,732529,729986,2543,308764
36103,false,Senior,Commute,Peak,185768,185179,589,274322
36061,false,Senior,Other,Peak,97379,96832,547,296849
34039,false,Student,Other,Overnight,15664,15576,88,142989
36061,true,Student,Other,Peak,93839,93547,292,333317
36047,false,NotLowIncome,Commute,Peak,1265235,1263721,1514,1017596
36059,false,NotLowIncome,Commute,Overnight,77119,76821,298,630882
36027,false,Senior,Commute,Overnight,4267,4160,107,55563
34031,false,Senior,Other,Overnight,19194,19107,87,81486
36047,false,LowIncome,Commute,Overnight,53726,53417,309,622797
09005,false,Senior,Other,Peak,46315,44014,2301,41678
34035,false,Senior,Other,Overnight,15264,15118,146,58035
36071,false,Student,Commute,Overnight,4330,4304,26,110478
09009,false,NotLowIncome,Other,Peak,781310,757089,24221,355724
36071,false,Senior,Other,Peak,74284,73636,648,59259
36061,true,NotLowIncome,Commute,Peak,1373653,1371974,1679,765831
36005,false,Senior,Other,Peak,146741,146239,502,203796
36059,false,Student,Commute,Overnight,15355,15292,63,343273
34035,false,Student,Other,Overnight,10987,10905,82,84625
36059,false,Senior,Other,Peak,320852,320374,478,261151
34023,false,LowIncome,Commute,Overnight,13055,12964,91,102510
36087,false,NotLowIncome,Commute,Overnight,15830,15768,62,118974
36079,false,Student,Commute,Overnight,716,712,4,21976
36079,false,LowIncome,Commute,Overnight,996,984,12,8508
36081,false,LowIncome,Other,Peak,615644,614570,1074,519866
36047,false,Senior,Commute,Overnight,29915,29488,427,407225
36087,false,Senior,Commute,Peak,35694,35513,181,55002
36059,false,LowIncome,Commute,Overnight,21494,21371,123,156808
36079,false,LowIncome,Other,Peak,21787,21718,69,8508
36087,false,Student,Other,Peak,61642,61542,100,99191
09005,false,LowIncome,Commute,Overnight,2080,1996,84,20483
36085,false,Student,Commute,Overnight,4015,4000,15,119449
36005,false,NotLowIncome,Other,Peak,510487,509523,964,395422
34029,false,LowIncome,Commute,Peak,87135,85392,1743,91103
36061,true,Senior,Other,Peak,99774,99340,434,296849
36005,false,Senior,Commute,Peak,96850,96360,490,203796
34031,false,LowIncome,Other,Peak,180778,180310,468,100831
42103,false,Student,Commute,Peak,17733,15972,1761,11063
34035,false,Senior,Other,Peak,70799,70282,517,58035
36111,false,Student,Other,Overnight,5698,5595,103,38188
34017,false,Student,Other,Overnight,14704,14613,91,155738
09009,false,LowIncome,Other,Overnight,46800,45820,980,134071
34029,false,Senior,Commute,Peak,76830,74742,2088,147307
36103,false,Student,Commute,Overnight,16131,16063,68,366810
34035,false,Student,Commute,Overnight,3350,3330,20,84625
34035,false,LowIncome,Commute,Overnight,4114,4070,44,29694
34021,false,Senior,Other,Overnight,14773,14381,392,62117
34019,false,NotLowIncome,Commute,Peak,79077,74012,5065,64025
34027,false,LowIncome,Other,Overnight,17468,17289,179,37898
34029,false,Student,Commute,Overnight,5589,5495,94,158111
34027,false,Senior,Commute,Overnight,7894,7690,204,92744
36005,false,Student,Commute,Peak,511389,511198,191,399400
36027,false,Senior,Other,Peak,65866,65222,644,55563
36081,false,Student,Other,Peak,245517,245058,459,539727
36085,false,Student,Commute,Peak,164194,164103,91,119449
36081,false,NotLowIncome,Commute,Peak,1142813,1141382,1431,922636
34039,false,Senior,Commute,Overnight,7287,7134,153,87162
36111,false,NotLowIncome,Other,Peak,160413,157418,2995,73461
34017,false,Senior,Commute,Peak,57291,56927,364,91058
36027,false,LowIncome,Other,Overnight,15538,15372,166,38730
34013,false,NotLowIncome,Commute,Peak,511720,510361,1359,321624
34021,false,Senior,Commute,Peak,41017,38367,2650,62117
34023,false,LowIncome,Other,Overnight,39826,39549,277,102510
36087,false,Student,Commute,Overnight,3273,3262,11,99191
34025,false,Student,Commute,Peak,281898,281497,401,155063
36059,false,LowIncome,Other,Peak,345866,345507,359,156808
34029,false,NotLowIncome,Other,Overnight,90256,89245,1011,233632
36111,false,Senior,Commute,Overnight,2872,2770,102,39339
36061,true,LowIncome,Commute,Peak,334518,334128,390,272046
34031,false,Student,Other,Overnight,14486,14416,70,133996
36087,false,LowIncome,Other,Peak,116893,116684,209,63359
36103,false,Student,Commute,Peak,657996,657407,589,366810
34019,false,LowIncome,Other,Peak,24287,22983,1304,10623
36061,true,Senior,Other,Overnight,23753,23612,141,296849
34019,false,Student,Other,Overnight,3550,3394,156,28326
34031,false,Student,Other,Peak,82858,82684,174,133996
34025,false,LowIncome,Commute,Peak,82232,81722,510,57470
34023,false,Student,Other,Peak,180182,179344,838,223943
34035,false,LowIncome,Other,Overnight,12911,12821,90,29694
34021,false,LowIncome,Commute,Overnight,6462,6220,242,62973
36059,false,Senior,Commute,Peak,184382,183740,642,261151
34029,false,Student,Other,Peak,110098,109201,897,158111
09009,false,NotLowIncome,Other,Overnight,132603,129575,3028,355724
09005,false,NotLowIncome,Commute,Overnight,9334,8858,476,85672
36071,false,LowIncome,Commute,Peak,72942,72311,631,65592
34013,false,LowIncome,Other,Peak,296431,295326,1105,186471
34019,false,Student,Commute,Peak,46822,44039,2783,28326
34029,false,Senior,Other,Overnight,34513,34035,478,147307
34003,false,NotLowIncome,Other,Overnight,178219,177279,940,451742
36071,false,Senior,Commute,Peak,39647,39111,536,59259
36047,false,Senior,Other,Peak,270703,269662,1041,407225
36071,false,Senior,Other,Overnight,15533,15357,176,59259
36071,false,NotLowIncome,Commute,Peak,264642,262629,2013,162769
36081,false,Student,Commute,Overnight,18763,18673,90,539727
34023,false,NotLowIncome,Other,Overnight,158126,156956,1170,393651
09009,false,LowIncome,Commute,Overnight,14389,14014,375,134071
34017,false,Student,Commute,Overnight,5366,5350,16,155738
36059,false,NotLowIncome,Other,Overnight,253259,252137,1122,630882
34003,false,NotLowIncome,Commute,Overnight,53402,53190,212,451742
09005,false,Student,Other,Overnight,4152,4012,140,37324
34039,false,NotLowIncome,Other,Peak,536345,534616,1729,248668
34025,false,Senior,Other,Overnight,32844,32636,208,120652
34025,false,Student,Commute,Overnight,6508,6479,29,155063
34003,false,LowIncome,Other,Overnight,42675,42446,229,97680
36103,false,NotLowIncome,Commute,Overnight,85494,85152,342,683903
36119,false,LowIncome,Commute,Peak,175089,174788,301,130338
34013,false,NotLowIncome,Other,Overnight,114451,113729,722,321624
34029,false,LowIncome,Other,Peak,167141,165461,1680,91103
36081,false,LowIncome,Commute,Peak,509085,508142,943,519866
34019,false,NotLowIncome,Other,Peak,140588,131801,8787,64025
34029,false,Senior,Commute,Overnight,10693,10416,277,147307
34031,false,Senior,Other,Peak,97751,97463,288,81486
36071,false,LowIncome,Commute,Overnight,7120,7048,72,65592
34025,false,Student,Other,Overnight,20847,20745,102,155063
34023,false,LowIncome,Other,Peak,221475,220447,1028,102510
36027,false,Senior,Commute,Peak,33286,32805,481,55563
34027,false,LowIncome,Other,Peak,95748,94758,990,37898
34003,false,Student,Other,Overnight,27737,27606,131,229971
36061,false,Student,Other,Peak,85562,85232,330,333317
36087,false,NotLowIncome,Commute,Peak,185520,185165,355,118974
34031,false,NotLowIncome,Other,Overnight,76887,76512,375,204610
34039,false,LowIncome,Other,Overnight,32429,32201,228,93062
36111,false,LowIncome,Commute,Peak,31972,31314,658,30777
34037,false,Senior,Commute,Peak,16060,15703,357,27550
34017,false,NotLowIncome,Commute,Peak,426760,425863,897,332476
42103,false,Student,Commute,Overnight,336,308,28,11063
36071,false,NotLowIncome,Other,Overnight,71100,70483,617,162769
34017,false,LowIncome,Commute,Overnight,12865,12756,109,134092
36047,false,NotLowIncome,Other,Peak,1115402,1112797,2605,1017596
36111,false,NotLowIncome,Commute,Overnight,9265,9113,152,73461
34013,false,Student,Commute,Peak,367787,367499,288,220250
36085,false,NotLowIncome,Other,Peak,343917,343249,668,213036
34029,false,Student,Commute,Peak,230584,228777,1807,158111
34025,false,Student,Other,Peak,121011,120678,333,155063
34039,false,LowIncome,Commute,Overnight,10247,10179,68,93062
34035,false,Student,Other,Peak,63763,63518,245,84625
34035,false,NotLowIncome,Other,Peak,412366,410480,1886,171501
34037,false,Student,Other,Peak,26629,26353,276,32162
36119,false,Senior,Other,Overnight,43114,42877,237,180890
34013,false,Senior,Other,Overnight,27463,27299,164,124942
36081,false,Senior,Other,Peak,330597,329776,821,410297
34025,false,LowIncome,Other,Peak,136836,136360,476,57470
34013,false,LowIncome,Commute,Overnight,16764,16642,122,186471
36027,false,LowIncome,Other,Peak,88197,87574,623,38730
36005,false,NotLowIncome,Other,Overnight,105914,105429,485,395422
09009,false,LowIncome,Commute,Peak,155777,149303,6474,134071
36027,false,Student,Other,Overnight,11576,11409,167,70555
09001,false,Student,Other,Overnight,31851,31607,244,251478
34027,false,NotLowIncome,Commute,Peak,412983,408638,4345,252085
34013,false,LowIncome,Commute,Peak,192394,191674,720,186471
36111,false,Senior,Other,Peak,45661,44716,945,39339
36081,false,Student,Commute,Peak,698145,697768,377,539727
34025,false,Senior,Other,Peak,155586,154809,777,120652
34003,false,LowIncome,Other,Peak,228719,228178,541,97680
36061,true,Senior,Commute,Peak,151847,151314,533,296849
34019,false,Student,Other,Peak,21788,20478,1310,28326
36071,false,NotLowIncome,Commute,Overnight,22328,22133,195,162769
09001,false,Student,Other,Peak,189127,188438,689,251478
36027,false,Senior,Other,Overnight,13285,13136,149,55563
36071,false,Student,Commute,Peak,179992,179544,448,110478
36027,false,NotLowIncome,Other,Peak,302494,300507,1987,131061
