i_index,alpha_i,phi_A,phi_B,phi_C,phi_D,phi_E,total_CS_change_per_trip,CS_toll_per_trip,CS_other_per_trip,trips_23,trips_25,trip_weight,phi_A_weighted,phi_B_weighted,phi_C_weighted,phi_D_weighted,phi_E_weighted,total_CS_change,CS_toll,CS_other,direct_CS_change_per_trip,direct_CS_change,decomposition_error,origin_county,Pop_group,Trip_purpose,Time_period,Trip_num,origin_region
1,0.054662282421105,-0.00046948054754998683,0.019160542183905033,0.0007158199570126319,0.0,0.0,0.01940688159336768,0.0002463394094626451,0.019160542183905033,15780.649381742453,15827.283696080898,15803.966538911674,-7.419654864149924,302.81256754184074,11.312794648512828,0.0,0.0,306.70570732620365,3.893139784362905,302.81256754184074,0.019406881593367672,306.70570732620354,1.1368683772161603e-13,09001,LowIncome,Commute,Overnight,15780,CTS & PAS
2,0.0459561640305671,-0.0018770639430308487,0.020075508671794372,0.006113807322842744,0.0,0.0,0.024312252051606267,0.004236743379811895,0.020075508671794372,176561.59294370213,176561.9456530103,176561.7692983562,-331.4177308676755,3544.5673306565072,1079.4646380703612,0.0,0.0,4292.614237859193,748.0469072026857,3544.5673306565072,0.024312252051606267,4292.614237859193,0.0,09001,LowIncome,Commute,Peak,176559,CTS & PAS
3,0.0534696315933919,-0.00031335031418662203,0.011954620924752638,-0.00087798577203529,0.0,0.0,0.010763284838530727,-0.001191336086221912,0.011954620924752638,46316.97751673778,46378.19107969903,46347.584298218404,-14.523030101637687,554.0678010632186,-40.692519582041975,0.0,0.0,498.8522513795389,-55.21554968367966,554.0678010632186,0.010763284838526573,498.8522513793464,1.9252865968155675e-10,09001,LowIncome,Other,Overnight,46316,CTS & PAS
4,0.0666642693677195,-0.0010302058916904127,0.010080699844846431,-0.0006925355451818524,0.0,0.0,0.008357958407974167,-0.0017227414368722652,0.010080699844846431,266084.0134735503,266083.9975075801,266084.0054905652,-274.1213101409644,2682.3129928648577,-184.2726318065796,0.0,0.0,2223.919050917314,-458.393941947544,2682.3129928648577,0.008357958407974165,2223.9190509173136,4.547473508864641e-13,09001,LowIncome,Other,Peak,266082,CTS & PAS
5,0.0358258339923212,-0.0007315081114774855,0.02720230184519089,0.004649233034326744,0.0,0.0,0.031120026768040147,0.003917724922849258,0.02720230184519089,57104.036229000885,57440.205203387784,57272.12071619433,-41.89502086541389,1557.9335150361285,266.27143557967975,0.0,0.0,1782.3099297503943,224.37641471426582,1557.9335150361285,0.031120026768040144,1782.309929750394,2.2737367544323206e-13,09001,NotLowIncome,Commute,Overnight,57103,CTS & PAS
6,0.0276844799617658,-0.004259387053375981,0.030367000741343554,0.022013245350724332,0.0,0.0,0.048120859038691906,0.01775385829734835,0.030367000741343554,713936.9483656449,713938.864114937,713937.906240291,-3040.93787475425,21680.15292807218,15716.09029524995,0.0,0.0,34355.30534856788,12675.152420495699,21680.15292807218,0.04812085903869191,34355.30534856788,0.0,09001,NotLowIncome,Commute,Peak,713931,CTS & PAS
7,0.0316658257335616,-0.0009228644724541903,0.014839811328694054,-0.006924698942274234,0.0,0.0,0.006992247913965629,-0.007847563414728425,0.014839811328694054,166649.42655820298,167241.06829103493,166945.24742461895,-154.06783769325523,2477.435974003492,-1156.0455782589693,0.0,0.0,1167.3225580512676,-1310.1134159522246,2477.435974003492,0.00699224791396563,1167.3225580512678,-2.2737367544323206e-13,09001,NotLowIncome,Other,Overnight,166647,CTS & PAS
8,0.020677710617295,-0.0028701894797042555,0.012199108740728475,-0.006756582376449633,0.0,0.0,0.002572336884574586,-0.009626771856153888,0.012199108740728475,953391.221500582,953390.957559475,953391.0895300284,-2736.4130752128654,11630.521573618415,-6441.665433382705,0.0,0.0,2452.4430650228437,-9178.07850859557,11630.521573618415,0.0025723368845745847,2452.4430650228423,1.3642420526593924e-12,09001,NotLowIncome,Other,Peak,953387,CTS & PAS
9,0.0422950629615494,-0.0007876732954929097,0.01879228236716235,0.0028345400630644607,0.0,0.0,0.0208391491347339,0.002046866767571551,0.01879228236716235,12600.837667894455,12658.970153809665,12629.90391085206,-9.94823803521963,237.34472056285995,35.799968627964674,0.0,0.0,263.19645115560496,25.851730592745046,237.34472056285995,0.0208391491347339,263.19645115560496,0.0,09001,Senior,Commute,Overnight,12600,CTS & PAS
10,0.0480594277087352,-0.0039081676407409826,0.02159577025151979,0.009250998385298428,0.0,0.0,0.026938600996077238,0.005342830744557446,0.02159577025151979,110720.18250422168,110720.10949436302,110720.14599929235,-432.71289177255153,2391.0868352154457,1024.2718918594599,0.0,0.0,2982.645835302354,591.5590000869082,2391.0868352154457,0.026938600996077228,2982.645835302353,9.094947017729282e-13,09001,Senior,Commute,Peak,110718,CTS & PAS
